Song,Artist,Album,Cover art,Year released
baile inolvidable,bad bunny,debi tira mad fotos,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.iheart.com%2Fartist%2Fla-pleyer-45008794%2Falbums%2Fbaile-inolvidable-315189327%2F&psig=AOvVaw0d4p5xjQ8WiK951MSIqa1g&ust=1761164883310000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCPC2u8yQtpADFQAAAAAdAAAAABAE ,2025
7 dias,romeo santos,formula vol 2,https://www.google.com/imgres?q=cover%20art%20album%20for%20formula%20vol%202%20romeo%20santos%20from&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2Fthumb%2Fd%2Fdf%2FFormula_vol_2.jpg%2F250px-Formula_vol_2.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FFormula%2C_Vol._2&docid=zbw5J5z0nav0xM&tbnid=kzRPwO1oUM1gUM&vet=12ahUKEwja-eHekLaQAxVEhIkEHSgHF5UQM3oECBUQAA..i&w=250&h=250&hcb=2&ved=2ahUKEwja-eHekLaQAxVEhIkEHSgHF5UQM3oECBUQAA,2024
nevada,nba youngboy,sincerely kentrell,https://www.google.com/url?sa=i&url=https%3A%2F%2Faudiomack.com%2Fgg_youngboy%2Falbum%2Fsincerely-kentrell&psig=AOvVaw0PLOoK8gqOt9fQgh3JXH0C&ust=1761165002535000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCLjoy4SRtpADFQAAAAAdAAAAABAU,2021
burning blue,mariah the scientist,hearts sold seperately,https://www.google.com/imgres?q=cover%20art%20album%20for%20hearts%20sold%20seperately%20by%20mariah%20the%20scientist%20from&imgurl=https%3A%2F%2Flookaside.instagram.com%2Fseo%2Fgoogle_widget%2Fcrawler%2F%3Fmedia_id%3D3672369399048314255&imgrefurl=https%3A%2F%2Fwww.instagram.com%2Fp%2FDL24IVTSRFg%2F&docid=4CHaxYFDLtWUcM&tbnid=-7uWmJfw_aIGcM&vet=12ahUKEwjz9rOckbaQAxVGhIkEHbV2Dm0QM3oECBkQAA..i&w=1086&h=1008&hcb=2&ved=2ahUKEwjz9rOckbaQAxVGhIkEHbV2Dm0QM3oECBkQAA,2025
twenties ,giveon,single,https://www.google.com/imgres?q=cover%20art%20album%20for%20the%20single%20twenties%20by%20giveon%20from&imgurl=https%3A%2F%2Fwww.frontview-magazine.be%2Fsites%2Fdefault%2Ffiles%2Fnews%2F218207-giveon-releases-new-single-twenties-1501936.jpeg&imgrefurl=https%3A%2F%2Fwww.frontview-magazine.be%2Fen%2Fnews%2Fgiveon-releases-new-single-twenties&docid=ctWoe7-DQ4QnqM&tbnid=0N6OGzXOj8vlwM&vet=12ahUKEwiCosakkbaQAxUWkokEHUwzBfMQM3oECBkQAA..i&w=200&h=200&hcb=2&ved=2ahUKEwiCosakkbaQAxUWkokEHUwzBfMQM3oECBkQAA,2025
intimate relationships,hunxho,for her 2,https://www.google.com/url?sa=i&url=https%3A%2F%2Fsoundcloud.com%2F1hunxho%2Fsets%2Ffor-her-deluxe&psig=AOvVaw2QKwPlkBzUfdjGiyGTB0fN&ust=1761165093770000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCMjE7a-RtpADFQAAAAAdAAAAABAK,2025
losing control ,russ,theres really a wolf,https://www.google.com/url?sa=i&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FThere%2527s_Really_a_Wolf&psig=AOvVaw1161_69fI0Tbi6uSa01pZ5&ust=1761165126421000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCIjoxr-RtpADFQAAAAAdAAAAABAE,2017
potential ,summer walker,over it,https://www.google.com/url?sa=i&url=https%3A%2F%2Falbumartexchange.com%2Fcovers%2F709182-over-it&psig=AOvVaw00xfFcMjODtwjvYoJ1c0ku&ust=1761165157703000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCOj0tM6RtpADFQAAAAAdAAAAABAE,2019
while were young ,jhene aiko,trip,https://www.google.com/imgres?q=cover%20art%20album%20for%20tirp%20by%20jheen%20aiko%20from&imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2F2%2F2b%2FJhen%25C3%25A9_Aiko_-_Trip.png&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTrip_(Jhen%25C3%25A9_Aiko_album)&docid=NLVsUYlqzF4c0M&tbnid=ULtzU9G-PZ_OyM&vet=12ahUKEwji_c7akbaQAxUbvokEHQq7NMEQM3oECBYQAA..i&w=316&h=316&hcb=2&ved=2ahUKEwji_c7akbaQAxUbvokEHQq7NMEQM3oECBYQAA,2017
since way back ,drake,back to back,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DSJkR-3-Fn18&psig=AOvVaw0cbvt76NUOsshyYuOplLkG&ust=1761165205561000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCLDrjueRtpADFQAAAAAdAAAAABAE,2018